"filename", "language", "Slint", "Rust", "comment", "blank", "total"
"d:\WorkSpace\RSProject\ExtendedSearch\build.rs", "Rust", 0, 28, 5, 6, 39
"d:\WorkSpace\RSProject\ExtendedSearch\src\filter.rs", "Rust", 0, 132, 20, 15, 167
"d:\WorkSpace\RSProject\ExtendedSearch\src\helper.rs", "Rust", 0, 115, 38, 19, 172
"d:\WorkSpace\RSProject\ExtendedSearch\src\main.rs", "Rust", 0, 14, 4, 8, 26
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\build_tree.rs", "Rust", 0, 94, 9, 7, 110
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\mod.rs", "Rust", 0, 223, 48, 36, 307
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\settings.rs", "Rust", 0, 163, 20, 24, 207
"d:\WorkSpace\RSProject\ExtendedSearch\src\ui_handler.rs", "Rust", 0, 1001, 120, 105, 1226
"d:\WorkSpace\RSProject\ExtendedSearch\ui\app-window.slint", "Slint", 67, 0, 6, 9, 82
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\content-area.slint", "Slint", 106, 0, 7, 13, 126
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\custom-button.slint", "Slint", 39, 0, 1, 6, 46
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\filter-settings-optimized.slint", "Slint", 481, 0, 57, 77, 615
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\scope-selection.slint", "Slint", 98, 0, 7, 18, 123
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-page.slint", "Slint", 142, 0, 16, 30, 188
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-result-view.slint", "Slint", 214, 0, 37, 38, 289
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\sidebar.slint", "Slint", 27, 0, 2, 8, 37
"Total", "-", 1174, 1770, 397, 419, 3760
